,text,url
0,Rexnord of Indiana is moving to Mexico and rather viciously firing all of its 300 workers. This is happening all over our country. No more!,Donald Trump at 2016-12-02 22:06:41 EST
1,Getting ready to leave for the Great State of Indiana and meet the hard working and wonderful people of Carrier A.C.,Donald Trump at 2016-12-01 09:38:09 EST
2,Look forward to going to Indiana tomorrow in order to be with the great workers of Carrier. They will sell many air conditioners!,Donald Trump at 2016-11-30 22:48:35 EST
3,RT @DanScavino: Great interview on @foxandfriends by @SteveDoocy w/ Carrier employee- who has a message for #PEOTUS @realDonaldTrump &amp; #VPE…,Donald Trump at 2016-11-30 14:51:16 EST
4,Big day on Thursday for Indiana and the great workers of that wonderful state.We will keep our companies and jobs in the U.S. Thanks Carrier,Donald Trump at 2016-11-29 22:50:44 EST
5,I will be going to Indiana on Thursday to make a major announcement concerning Carrier A.C. staying in Indianapolis. Great deal for workers!,Donald Trump at 2016-11-29 22:40:16 EST
6,"México, entre los primeros lugares del top de Ciudades inteligentes",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/3/mexico-entre-los-primeros-lugares-del-top-de-ciudades
7,EU pierde más si sale del TLCAN: OCDE,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/3/eu-pierde-mas-si-sale-del-tlcan-ocde
8,Suben tarifas eléctricas por sexto mes consecutivo,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/3/suben-tarifas-electricas-por-sexto-mes-consecutivo
9,Analistas bajan a 1.80% crecimiento para 2017,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/3/analistas-bajan-180-crecimiento-para-2017
10,Cierra dólar en $20.90; baja 15 centavos ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/cierra-dolar-en-2090-baja-15-centavos
11,México debe evitar quedarse estático ante incertidumbre: Guajardo,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/mexico-debe-evitar-quedarse-estatico-ante-incertidumbre-guajardo
12,"Estados Unidos perderá más si sale del TLCAN, afirma la OCDE",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/estados-unidos-perdera-mas-si-sale-del-tlcan-afirma-la-ocde
13,Analistas recortan PIB de 2017 a 1.80%; prevén mayor inflación ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/analistas-recortan-pib-de-2017-180-preven-mayor-inflacion
14,Dólar se vende en $20.90; baja 15 centavos ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/dolar-se-vende-en-2090-baja-15-centavos
15,Tasa de desempleo en EU bajó en noviembre,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/12/2/tasa-de-desempleo-en-eu-bajo-en-noviembre
16,Economía Universal,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/walmart-seguira-pagando-15-por-hora-en-mexico-65279
17,10 empresas con potencial de llegar a Cuba,http://www.eluniversal.com.mxhttp://www.eluniversaltv.com.mx/video/cartera/2016/10-empresas-con-potencial-de-llegar-a-cuba
18,Tres malos augurios para la economía mexicana en 2017,http://www.elfinanciero.com.mx/economia/analistas-rebajan-su-pronostico-de-crecimiento-para-2017.html
19,"Carstens, con el 'bat' listo si la inflación acelera",http://www.elfinanciero.com.mx/economia/carstens-listo-para-subir-tasa-por-inflacion.html
20,México recibe a gigantes petroleros con una Pemex 'enferma',http://www.elfinanciero.com.mx/economia/mexico-recibe-a-gigantes-petroleros-mientras-pemex-se-erosiona.html
21,10 things you need to know before the opening bell,http://www.businessinsider.com.au/10-things-before-the-opening-bell-december-2-2016-2016-12
22,10 things you need to know before the opening bell,http://www.businessinsider.com.au/opening-bell-december-1-2016-2016-12
23,Trump didn't save as many Carrier jobs as he claimed,http://money.cnn.com//2016/12/02/news/companies/trump-carrier-plant-mexico/index.html
24,OPEC deal sends oil spiking 14% in 3 days,http://money.cnn.com//2016/12/02/investing/oil-prices-spike-opec-meeting/index.html
25,Hackers steal 2 billion rubles at Russia's central bank,http://money.cnn.com//2016/12/02/technology/russia-central-bank-hack/index.html
26,The best time to get a new credit card is right now,http://money.cnn.com//2016/12/02/pf/new-credit-card/index.html
27,Controversial merchant cash advances come at a high cost to small businesses,http://money.cnn.com//2016/12/01/news/economy/merchant-cash-advance/index.html
28,China Protests to U.S. Over Trump’s Call With Taiwan President,http://www.bloomberg.com/politics/articles/2016-12-03/china-dismisses-unprecedented-trump-tsai-call-as-taiwan-gimmick
29,Electric Cars Could Take an OPEC-Sized Bite From Oil Demand,http://www.bloomberg.com//news/articles/2016-12-03/electric-cars-could-take-an-opec-sized-bite-from-oil-demand
30,Airbnb to Drop New York City Lawsuit Over Short-Term Rentals,http://www.bloomberg.com//news/articles/2016-12-03/airbnb-to-drop-new-york-city-lawsuit-over-short-term-rentals
31,Inventory Check: We Went to the Stores,http://www.wsj.com/articles/inventory-check-we-went-to-the-stores-1480701344
32,"Chips Need a Nick, Not a Cut",http://www.wsj.com/articles/chips-need-a-nick-not-a-cut-1480705843
33,Europe’s Forgotten Election: Spare a Thought for Austria,http://www.wsj.com/articles/europes-forgotten-election-spare-a-thought-for-austria-1480607526
34,Global Bond Markets: Into the Maelstrom,http://www.wsj.com/articles/global-bond-markets-into-the-maelstrom-1480698579
35,Little Slack But Not Much Heat in Labor Market,http://www.wsj.com/articles/little-slack-but-not-much-heat-in-labor-market-1480694166
36,Profit Warning Just Another Day for Caterpillar Shareholders,http://blogs.wsj.com/moneybeat/2016/12/02/profit-warning-just-another-day-for-caterpillar-shareholders/
37,Banks Need Firmer Footing to Keep Mortgages Safe,http://www.wsj.com/articles/banks-need-firmer-footing-to-keep-mortgages-safe-1480688467
38,"Coal Price Politics, China Edition",http://blogs.wsj.com/moneybeat/2016/12/02/coal-price-politics-china-edition/
39,Passive Investors Get Sucked Into Hong Kong Market Failures,http://www.wsj.com/articles/passive-investors-get-sucked-into-hong-kong-market-failures-1480650893
40,Baby Boomers vs. Millennials: The Uneven Jobs Recovery,http://www.wsj.com/articles/baby-boomers-vs-millennials-the-uneven-jobs-recovery-1480624537
41,Infrastructure Stocks Overheated on Trump’s Trillion-Dollar Plan,http://blogs.wsj.com/moneybeat/2016/12/01/infrastructure-stocks-overheated-on-trumps-trillion-dollar-plan/
42,OPEC Windfall Shows Talk Isn’t Cheap,http://www.wsj.com/articles/opec-windfall-shows-talk-isnt-cheap-1480618629
43,Glencore Moving Too Quickly on Dividend,http://www.wsj.com/articles/glencore-moving-too-quickly-on-dividend-1480614591
44,Patent Feud Is Underappreciated Risk at Biogen,http://www.wsj.com/articles/patent-feud-is-underappreciated-risk-at-biogen-1480604461
45,Peak Oil (Base Effect Edition),http://blogs.wsj.com/moneybeat/2016/12/01/peak-oil-base-effect-edition/
46,India’s Cash Dash Stuffs Banks With Problems,http://www.wsj.com/articles/indias-cash-dash-stuffs-banks-with-problems-1480584204
