,text,url
0,OCDE teme también mal clima económico,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/29/ocde-teme-tambien-mal-clima-economico
1,"Aventurado, hablar de efectos por Trump: Hank",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/29/aventurado-hablar-de-efectos-por-trump-hank
2,Producción de crudo prioriza exportación,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/29/produccion-de-crudo-prioriza-exportacion
3,Desempleo se ubica en su nivel más bajo desde 2007,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/29/desempleo-se-ubica-en-su-nivel-mas-bajo-desde-2007
4,Analistas esperan una revisión al alza del PIB en Estados Unidos,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/29/analistas-esperan-una-revision-al-alza-del-pib-en-estados
5,Crece entrega de recibos de nómina vía electrónica: SAT,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/29/crece-entrega-de-recibos-de-nomina-electronica-sat
6,"Aventurado, hablar de afectaciones por Trump: Hank González",http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/28/aventurado-hablar-de-afectaciones-por-trump-hank-gonzalez
7,Dólar al menudeo cierra en $20.90,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/28/dolar-al-menudeo-cierra-en-2090
8,Bolsa Mexicana cierra con alza de 0.25%,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/28/bolsa-mexicana-cierra-con-alza-de-025
9,Crece 5.5% el número de empresas víctimas del delito: Inegi ,http://www.eluniversal.com.mx/articulo/cartera/economia/2016/11/28/crece-55-el-numero-de-empresas-victimas-del-delito-inegi
10,Aumentan delitos cometidos ,http://www.elfinanciero.com.mx/economia/aumentan-delitos-cometidos-contra-empresas.html
11,Dólar volátil pone nerviosas a las empresas: IP,http://www.elfinanciero.com.mx/economia/dolar-volatil-pone-nerviosas-a-las-empresas-ip.html
12,Incumplen con nueva Ley 72% de fideicomisos y fondos públicos,http://www.elfinanciero.com.mx/economia/incumplen-con-nueva-ley-72-de-fideicomisos-y-fondos-publicos.html
13,10 things you need to know before the opening bell,http://www.businessinsider.com.au/opening-bell-november-29-2016-2016-11
14,10 things you need to know before the opening bell,http://www.businessinsider.com.au/opening-bell-november-28-2016-2016-11
15,Tiffany's New York traffic hurt by police activity near Trump Tower,http://money.cnn.com//2016/11/29/investing/tiffany-earnings-flagship-store-donald-trump/index.html
16,Tiffany's New York traffic hurt by police activity near Trump Tower,http://money.cnn.com//2016/11/29/investing/tiffany-earnings-flagship-store-donald-trump/index.html
17,Samsung considers restructuring that could send shares skyrocketing,http://money.cnn.com//2016/11/29/technology/samsung-split-shareholders-dividend-note-7/index.html
18,Cyber Monday deals are here,http://money.cnn.com//2016/11/28/pf/best-cyber-monday-2016-deals/index.html
19,Hatchimals stockpile is surprise windfall for Arizona brothers,http://money.cnn.com//2016/11/23/smallbusiness/hatchimals-ebay/index.html
20,OPEC Said to Remain Split as Russia Says It Won’t Join Talks,http://www.bloomberg.com//news/articles/2016-11-28/opec-said-to-remain-split-as-saudis-say-cut-isn-t-essential
21,The Man Who Invented the World’s Most Important Number,http://www.bloomberg.com//news/features/2016-11-29/the-man-who-invented-libor-iw3fpmed
22,Supersonic Is Coming Back. Will the Airlines Buy It?,http://www.bloomberg.com//news/articles/2016-11-29/supersonic-is-coming-back-will-the-airlines-buy-it
23,"Rising Rates Could Be a Chinese Phenomenon, Too",http://www.wsj.com/articles/rising-rates-could-be-a-chinese-phenomenon-too-1480402244
24,Samsung Keeps Investors Waiting for Big Move,http://www.wsj.com/articles/samsung-keeps-investors-waiting-for-big-move-1480403354
25,Mom’s Big Oil Bet Bites the Dust,http://www.wsj.com/articles/moms-big-oil-bet-bites-the-dust-1480362446
26,AT&T Blinks on Price War,http://www.wsj.com//articles/the-biggest-loser-in-pay-tv-price-war-1480359917
27,"Trouble at Tiffany, and Donald Trump Isn’t Helping",http://www.wsj.com//articles/trouble-at-tiffany-and-donald-trump-isnt-helping-1480366595
28,A Double-Digit Return Is Hiding in Plain Sight at Under Armour,http://www.wsj.com//articles/a-double-digit-return-is-hiding-in-plain-sight-at-under-armour-1480273380
29,Costly Biotech Bet Still Worth It for J&J,http://www.wsj.com//articles/costly-biotech-bet-still-worth-it-for-j-j-1480355695
30,Politics and Markets: Won’t Get Fooled Again?,http://www.wsj.com//articles/politics-and-markets-wont-get-fooled-again-1480334721
31,Emerging Market Fund Managers Trampled by Trump,http://www.wsj.com//articles/emerging-market-fund-managers-trampled-by-trump-1480339749
32,China’s Debt-Laden Companies Take a Load Off—for Now,http://www.wsj.com//articles/chinas-debt-laden-companies-take-a-load-offfor-now-1480317266
33,Warning Ahead: The Pitfalls of Dow Milestones,http://www.wsj.com//articles/warning-ahead-the-pitfalls-of-dow-milestones-1480274336
34,Virtual Reality’s Long Walk Before Running,http://www.wsj.com//articles/virtual-realitys-long-walk-before-running-1480271531
35,"Rising Mortgage Rates Help, but Also Hurt, Banks",http://www.wsj.com//articles/rising-mortgage-rates-help-but-also-hurt-banks-1480266809
36,Another Shoe Drops at comScore,http://www.wsj.com//articles/another-shoe-drops-at-comscore-1480103867
37,Trade War’s Biggest Loser—Stocks,http://www.wsj.com//articles/trade-wars-biggest-loserstocks-1480101219
38,Apple Customers Listening Carefully,http://blogs.wsj.com/moneybeat/2016/11/25/apple-customers-listening-carefully/
